Tamanho da Janela:100
[R, M, H, C, C, H, R] 13/3/2001 - 2/8/2001 7.0710678118654755 Cup
[R, M, H, H, M, C, H] 2/1/2002 - 24/5/2002 7.0710678118654755 BearFlag
[R, R, M, C, H, H, M] 5/8/2003 - 24/12/2003 7.0710678118654755 Cup
[R, R, H, M, R, M, H] 26/12/2003 - 19/5/2004 8.660254037844387 DoubleBottom
[R, M, H, H, M, M, H] 16/5/2006 - 5/10/2006 7.0710678118654755 BearFlag
[M, M, H, H, H, H, M] 6/10/2006 - 2/3/2007 7.0710678118654755 BearFlag
[R, M, H, C, H, C, H] 26/2/2009 - 20/7/2009 7.0710678118654755 BearFlag
[R, R, M, C, H, M, R] 14/7/2011 - 2/12/2011 7.0710678118654755 Cup
[M, H, H, H, M, H, H] 11/7/2013 - 29/11/2013 8.660254037844387 BearFlag
