Tamanho da Janela:60
[M, H, H, H, M, H, H] 12/2/2003 - 8/5/2003 8.660254037844387 BearFlag
[R, R, H, C, C, H, M] 27/1/2004 - 21/4/2004 7.0710678118654755 Cup
[R, M, H, C, H, H, M] 13/10/2004 - 6/1/2005 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 6/4/2005 - 29/6/2005 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 20/12/2005 - 17/3/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 5/3/2007 - 29/5/2007 8.660254037844387 BearFlag
[R, H, H, C, H, H, M] 14/10/2009 - 8/1/2010 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 11/1/2010 - 7/4/2010 8.660254037844387 Cup
[M, M, H, H, M, H, H] 15/2/2013 - 13/5/2013 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 30/1/2014 - 25/4/2014 8.660254037844387 Cup
