Tamanho da Janela:60
[W, R, H, M, R, M, H] 19/9/2000 - 12/12/2000 7.0710678118654755 DoubleBottom
[W, R, H, R, W, M, C] 28/5/2002 - 20/8/2002 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 27/1/2004 - 21/4/2004 8.660254037844387 Cup
[R, R, M, H, H, M, R] 22/4/2004 - 19/7/2004 8.660254037844387 Cup
[R, M, H, C, H, H, M] 14/6/2006 - 7/9/2006 7.0710678118654755 BearFlag
[R, R, R, C, C, C, M] 28/1/2009 - 23/4/2009 8.660254037844387 Cup
[R, M, M, H, H, H, M] 5/12/2011 - 1/3/2012 7.0710678118654755 BearFlag
[M, M, M, R, R, H, C] 29/5/2012 - 21/8/2012 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 28/4/2014 - 22/7/2014 8.660254037844387 BearFlag
