Tamanho da Janela:40
[R, R, M, H, H, M, R] 27/4/2000 - 22/6/2000 8.660254037844387 Cup
[R, M, H, M, M, H, H] 29/10/2003 - 24/12/2003 7.0710678118654755 BearFlag
[R, M, H, M, M, H, H] 26/9/2005 - 18/11/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 20/3/2006 - 15/5/2006 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 11/11/2009 - 8/1/2010 8.660254037844387 BullFlag
[R, R, H, M, M, H, H] 11/1/2010 - 9/3/2010 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 18/2/2011 - 15/4/2011 8.660254037844387 Cup
[R, R, H, C, C, H, M] 5/12/2011 - 1/2/2012 7.0710678118654755 Cup
[M, R, M, H, H, H, R] 20/9/2012 - 16/11/2012 8.660254037844387 Cup
