Tamanho da Janela:40
[R, H, H, C, H, H, M] 17/10/2000 - 12/12/2000 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 3/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[M, M, H, H, H, M, M] 1/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 7/2/2005 - 5/4/2005 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 23/8/2007 - 18/10/2007 8.660254037844387 BearFlag
[R, R, H, H, M, H, H] 10/6/2008 - 5/8/2008 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 26/10/2010 - 21/12/2010 8.660254037844387 Cup
[M, M, M, H, H, H, M] 18/2/2011 - 15/4/2011 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 5/12/2011 - 1/2/2012 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 31/12/2013 - 27/2/2014 8.660254037844387 BearFlag
