Tamanho da Janela:60
[M, M, M, H, H, H, M] 13/3/2001 - 6/6/2001 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 31/8/2001 - 30/11/2001 7.0710678118654755 BearFlag
[M, M, H, C, H, H, M] 9/5/2003 - 4/8/2003 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 29/10/2003 - 26/1/2004 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 22/4/2004 - 19/7/2004 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 26/9/2005 - 19/12/2005 8.660254037844387 Cup
[R, R, M, R, R, M, H] 30/5/2007 - 22/8/2007 8.660254037844387 BullFlag
[M, H, H, H, H, H, M] 5/12/2011 - 1/3/2012 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 8/8/2013 - 31/10/2013 7.0710678118654755 BearFlag
