Tamanho da Janela:40
[R, R, M, H, H, H, M] 25/10/2007 - 20/12/2007 8.660254037844387 Cup
[R, R, M, H, H, H, M] 16/6/2008 - 11/8/2008 8.660254037844387 Cup
[R, R, H, R, R, H, C] 8/10/2008 - 3/12/2008 7.0710678118654755 DoubleBottom
[M, M, H, C, H, H, M] 27/7/2009 - 21/9/2009 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 15/1/2010 - 15/3/2010 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 13/10/2011 - 8/12/2011 8.660254037844387 BullFlag
[M, H, H, H, H, H, M] 9/12/2011 - 7/2/2012 8.660254037844387 BearFlag
[M, R, R, R, R, H, H] 24/1/2013 - 21/3/2013 7.0710678118654755 BullFlag
[M, M, H, H, H, H, M] 20/5/2013 - 16/7/2013 7.0710678118654755 BearFlag
