Tamanho da Janela:60
[R, R, R, C, C, C, R] 13/3/2001 - 6/6/2001 7.0710678118654755 Cup
[R, R, M, H, H, H, M] 7/6/2001 - 30/8/2001 8.660254037844387 Cup
[R, M, C, C, M, H, H] 31/8/2001 - 30/11/2001 8.660254037844387 BearFlag
[M, R, R, W, M, H, C] 3/12/2001 - 28/2/2002 8.660254037844387 BullFlag
[R, R, M, H, H, M, R] 27/1/2004 - 21/4/2004 8.660254037844387 Cup
[R, M, H, H, M, M, H] 7/1/2005 - 5/4/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, H] 26/9/2005 - 19/12/2005 7.0710678118654755 BearFlag
[M, M, H, H, H, H, M] 19/11/2012 - 14/2/2013 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 8/8/2013 - 31/10/2013 8.660254037844387 BullFlag
