Tamanho da Janela:20
[M, R, R, H, C, H, R] 17/4/2007 - 14/5/2007 8.660254037844387 Cup
[M, M, M, H, H, H, M] 15/5/2007 - 12/6/2007 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 5/10/2007 - 1/11/2007 8.660254037844387 DoubleBottom
[W, W, H, M, R, M, H] 2/1/2008 - 30/1/2008 8.660254037844387 DoubleBottom
[M, M, R, C, C, H, R] 31/1/2008 - 28/2/2008 8.660254037844387 Cup
[R, M, H, M, M, H, H] 27/5/2008 - 23/6/2008 7.0710678118654755 BearFlag
[M, M, M, H, C, H, R] 7/7/2009 - 3/8/2009 8.660254037844387 Cup
[M, R, R, R, M, H, H] 9/11/2010 - 7/12/2010 8.660254037844387 BullFlag
[M, R, R, H, C, H, R] 30/4/2013 - 28/5/2013 8.660254037844387 Cup
[R, M, H, H, M, M, M] 12/5/2014 - 9/6/2014 8.660254037844387 BearFlag
