Tamanho da Janela:60
[R, R, M, C, C, C, M] 7/6/2001 - 30/8/2001 7.0710678118654755 Cup
[M, R, R, W, R, H, C] 1/3/2002 - 24/5/2002 7.0710678118654755 BullFlag
[M, H, H, H, M, H, H] 14/11/2002 - 11/2/2003 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 6/4/2005 - 29/6/2005 7.0710678118654755 BearFlag
[M, H, H, H, H, H, H] 20/12/2005 - 17/3/2006 7.0710678118654755 BearFlag
[R, R, R, W, R, M, H] 30/5/2007 - 22/8/2007 8.660254037844387 BullFlag
[M, H, H, C, H, H, H] 11/1/2010 - 7/4/2010 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 29/5/2012 - 21/8/2012 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 28/4/2014 - 22/7/2014 8.660254037844387 Cup
[R, R, M, H, H, M, R] 23/7/2014 - 15/10/2014 8.660254037844387 Cup
