Tamanho da Janela:20
[M, H, H, H, H, H, M] 12/3/2007 - 9/4/2007 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 24/3/2008 - 18/4/2008 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 16/7/2008 - 12/8/2008 8.660254037844387 BullFlag
[M, M, H, H, M, M, H] 2/4/2009 - 30/4/2009 8.660254037844387 BearFlag
[M, M, H, H, M, H, M] 25/8/2009 - 22/9/2009 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 21/10/2009 - 17/11/2009 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 24/5/2011 - 21/6/2011 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 19/6/2013 - 17/7/2013 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 5/5/2014 - 2/6/2014 8.660254037844387 Cup
[M, M, M, H, H, H, M] 1/7/2014 - 29/7/2014 8.660254037844387 BearFlag
