Tamanho da Janela:20
[M, R, R, R, M, H, H] 30/7/2007 - 24/8/2007 8.660254037844387 BullFlag
[R, R, H, C, H, M, R] 18/3/2008 - 15/4/2008 8.660254037844387 Cup
[M, M, M, H, H, H, M] 12/3/2010 - 9/4/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/9/2010 - 27/10/2010 8.660254037844387 BearFlag
[M, M, H, H, M, M, H] 3/4/2012 - 1/5/2012 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 31/5/2012 - 27/6/2012 8.660254037844387 Cup
[M, H, H, H, H, H, H] 18/4/2013 - 15/5/2013 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 14/6/2013 - 12/7/2013 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 10/9/2013 - 7/10/2013 7.0710678118654755 BearFlag
