Tamanho da Janela:40
[M, H, H, H, H, H, H] 31/1/2002 - 28/3/2002 7.0710678118654755 BearFlag
[R, M, H, M, M, M, H] 1/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[M, R, R, H, C, H, R] 24/7/2002 - 18/9/2002 8.660254037844387 Cup
[R, R, M, H, H, H, M] 26/9/2005 - 18/11/2005 8.660254037844387 Cup
[R, M, H, M, R, H, H] 21/11/2005 - 19/1/2006 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 8/9/2006 - 2/11/2006 8.660254037844387 Cup
[R, M, H, R, R, H, C] 28/1/2009 - 25/3/2009 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 6/5/2010 - 1/7/2010 8.660254037844387 Cup
[R, R, M, R, R, M, H] 14/5/2013 - 10/7/2013 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 31/12/2013 - 27/2/2014 8.660254037844387 Cup
