Tamanho da Janela:20
[R, R, H, C, H, M, R] 9/7/2002 - 5/8/2002 8.660254037844387 Cup
[M, R, R, R, M, H, H] 4/9/2002 - 1/10/2002 8.660254037844387 BullFlag
[R, R, M, C, C, C, M] 2/10/2002 - 29/10/2002 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 14/10/2003 - 10/11/2003 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 9/3/2004 - 5/4/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/3/2007 - 13/4/2007 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 8/8/2007 - 5/9/2007 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 28/2/2008 - 27/3/2008 8.660254037844387 Cup
[R, M, M, H, H, H, M] 4/3/2011 - 31/3/2011 7.0710678118654755 BearFlag
