Tamanho da Janela:60
[M, R, R, H, C, H, R] 29/3/2000 - 22/6/2000 8.660254037844387 Cup
[R, M, H, C, H, H, M] 13/3/2001 - 6/6/2001 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 7/6/2001 - 30/8/2001 8.660254037844387 Cup
[W, M, C, H, R, H, C] 31/8/2001 - 30/11/2001 8.660254037844387 DoubleBottom
[M, M, H, H, H, M, M] 29/10/2003 - 26/1/2004 8.660254037844387 BearFlag
[R, H, H, C, H, H, M] 6/4/2005 - 29/6/2005 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 26/9/2005 - 19/12/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 5/3/2007 - 29/5/2007 8.660254037844387 BearFlag
[W, R, H, M, R, M, H] 14/10/2009 - 8/1/2010 7.0710678118654755 DoubleBottom
[R, R, M, H, H, M, R] 30/1/2014 - 25/4/2014 8.660254037844387 Cup
